Date Vps1 Ips1 Vps2 Ips2
2019-03-21 15:57:45.495000 2.0 0.05 0.52 0.046
Date Vps1 Ips1 Vps2 Ips2
2019-03-21 15:58:56.289000 2.0 0.05 0.52 0.046
2019-03-21 15:58:56.289000 2.0 0.05 0.52 0.046
2019-03-21 15:59:04.189000 2.0 0.05 0.52 0.046
2019-03-21 15:59:11.979000 1.5 0.038 0.52 0.035
2019-03-21 15:59:19.879000 1.5 0.038 0.52 0.035
2019-03-21 15:59:27.729000 1.5 0.038 0.52 0.035
2019-03-21 15:59:35.489000 1.5 0.038 0.52 0.035
2019-03-21 15:59:43.389000 1.5 0.038 0.52 0.035
2019-03-21 15:59:51.299000 1.5 0.038 0.52 0.035
2019-03-21 15:59:59.179000 1.5 0.038 0.52 0.035
2019-03-21 16:00:06.969000 1.5 0.038 0.52 0.035
2019-03-21 16:00:14.849000 1.5 0.038 0.52 0.035
2019-03-21 16:00:22.649000 1.5 0.038 0.52 0.035
2019-03-21 16:00:30.569000 1.5 0.038 0.52 0.035
2019-03-21 16:00:38.559000 1.5 0.038 0.52 0.035
2019-03-21 16:00:46.539000 1.5 0.038 0.52 0.035
2019-03-21 16:00:54.509000 1.5 0.038 0.52 0.035
2019-03-21 16:01:02.249000 1.5 0.038 0.52 0.035
2019-03-21 16:01:10.159000 1.5 0.038 0.52 0.035
2019-03-21 16:01:18.139000 0.8 0.024 0.52 0.02
2019-03-21 16:01:25.949000 0.8 0.024 0.52 0.02
2019-03-21 16:01:33.749000 0.8 0.024 0.52 0.02
2019-03-21 16:01:41.569000 0.8 0.024 0.52 0.02
2019-03-21 16:01:49.419000 0.8 0.024 0.52 0.02
2019-03-21 16:01:57.239000 0.8 0.024 0.52 0.02
2019-03-21 16:02:05.139000 0.8 0.024 0.52 0.02
2019-03-21 16:02:13.089000 0.8 0.024 0.52 0.02
2019-03-21 16:02:21.029000 0.8 0.024 0.52 0.02
2019-03-21 16:02:29.019000 0.8 0.024 0.52 0.02
2019-03-21 16:02:36.869000 0.8 0.024 0.52 0.02
2019-03-21 16:02:44.789000 0.8 0.024 0.52 0.02
2019-03-21 16:02:52.639000 0.8 0.024 0.52 0.02
2019-03-21 16:03:00.699000 0.8 0.024 0.52 0.02
2019-03-21 16:03:08.629000 0.8 0.024 0.52 0.02
2019-03-21 16:03:16.579000 0.8 0.024 0.52 0.02
